Chinese	Pinyin	English
谢谢	xièxiè	thank
不客气	búkèqì	you are welcome
再见	zàijiàn	good-bye
请	qǐng	please
对不起	duìbùqǐ	sorry
没关系	méiguānxì	It doesn’t matter
欢迎	huānyíng	welcome
是	shì	am, is, are
有	yǒu	have
看	kàn	look
听	tīng	listen
说话	shuōhuà	speak
读	dú	read
写	xiě	write
看见	kànjiàn	see
叫	jiào	call
来	lái	come
回	huí	return
去	qù	go
吃	chī	eat
喝	hē	drink
睡觉	shuìjiào	sleep
打电话	dǎdiànhuà	call up
做	zuò	do, make
买	mǎi	buy
开	kāi	open
坐	zuò	sit
住	zhù	live
学习	xuéxí	study
工作	gōngzuò	work
下雨	xiàyǔ	rain
问	wèn	ask
走	zǒu	walk
进	jìn	enter
出	chū	come
跑步	pǎobù	run
到	dào	arrive
穿	chuān	wear
洗	xǐ	wash
给	gěi	give
找	zhǎo	find
懂	dǒng	understand
笑	xiào	smile
回答	huídá	answer
告诉	gàosù	tell
准备	zhǔnbèi	prepare
开始	kāishǐ	begin
介绍	jièshào	introduce
帮助	bāngzhù	help
玩	wán	play
送	sòng	present
等	děng	wait
让	ràng	let
起床	qǐchuáng	get up
唱歌	chànggē	sing
跳舞	tiàowǔ	dance
旅游	lǚyóu	travel
上班	shàngbān	be on duty
生病	shēngbìng	fall ill
休息	xiūxi	rest
运动	yùndòng	exercise
游泳	yóuyǒng	swim
踢足球	tīzúqiú	play footbal
打篮球	dǎlánqiú	play basketball
完	wán	finish
爱	ài	love
喜欢	xǐhuān	love, like
想	xiǎng	want
认识	rènshi	know
觉得	juédé	think
知道	zhīdào	know
希望	xīwàng	hope
会	huì	can
能	néng	can, be able to
可以	kěyǐ	can
要	yào	ask for
可能	kěnéng	may
Adjective
好	hǎo	good
大	dà	big
小	xiǎo	small
多	duō	many, much
少	shǎo	few, little
冷	lěng	cold
热	rè	hot
高兴	gāoxìng	happy
漂亮	piàoliàng	beautiful
高	gāo	tall
红	hóng	red
白	bái	white
黑	hēi	black
忙	máng	busy
快	kuài	fast
慢	màn	slow
远	yuǎn	far
近	jìn	close
好吃	hǎochī	delicioous
累	lèi	tired
长	cháng	long
新	xīn	new
贵	guì	expensive
便宜	piányi	cheap
晴	qíng	fine
阴	yīn	cloudy
错	cuò	wrong
快乐	kuàilè	happy
